TimeOfDay	DemandFactor
00:00:00	0.36166666666666664
01:00:00	0.18833333333333335
02:00:00	0.10583333333333333
03:00:00	0.08083333333333333
04:00:00	0.10416666666666667
05:00:00	0.37916666666666665
06:00:00	1.4816666666666667
07:00:00	2.459166666666667
08:00:00	1.8758333333333332
09:00:00	1.4283333333333335
10:00:00	1.1975
11:00:00	1.1216666666666668
12:00:00	0.9899999999999999
13:00:00	0.8925
14:00:00	0.7841666666666667
15:00:00	0.8283333333333333
16:00:00	1.0491666666666666
17:00:00	1.2233333333333334
18:00:00	1.4466666666666665
19:00:00	1.485
20:00:00	1.4241666666666666
21:00:00	1.2591666666666665
22:00:00	1.0483333333333331
23:00:00	0.7883333333333334
